id,scene,object,instruction,level,times
31000000,,ADMilk,I need a bottle of ADMilk to add extra nutrients to my diet.,3,1
31000001,,ADMilk,"I need a bottle of ADMilk, the fortified milk with green lettering on the label and a white cap on top.",3,1
31000002,,ADMilk,I would like to purchase a bottle of ADMilk that is fortified with vitamins and minerals. Can you please bring me a bottle of ADMilk with a white cap and green ADMilk label?,3,1
31000003,,ADMilk,I need a bottle of ADMilk for the extra nutrients.,3,1
31000004,,ADMilk,"I need a bottle of ADMilk, preferably with the white cap and green-lettered label.",3,1
31000005,,ADMilk,I need a bottle of ADMilk with the white cap and the green label.,3,1
31000006,,ADMilk,I need a bottle of ADMilk with the white cap on top and green letters on the label.,3,1
31000007,,ADMilk,"I need a bottle of ADMilk with a white cap and green lettering on the label, fortified with vitamins and minerals.",3,1
31000008,,ADMilk,Please provide me with a bottle of ADMilk as I am in need of additional nutrients.,3,1
31000009,,ADMilk,"I need a bottle of ADMilk, fortified with vitamins and minerals, with a white cap and green ADMilk label.",3,1
31000010,,ADMilk,I need to buy a bottle of ADMilk with the white cap and green lettering.,3,1
31000011,,ADMilk,I need a bottle of ADMilk with its white cap on top and ADMilk label in green letters.,3,1
31000012,,ADMilk,I need to purchase a bottle of ADMilk with a white cap and a green ADMilk label on top.,3,1
31000013,,ADMilk,I need a bottle of ADMilk as a source of additional vitamins and minerals.,3,1
31000014,,ADMilk,I need a bottle of ADMilk with the white cap and green label to supplement my nutrition and provide me with additional vitamins and minerals.,3,1
31000015,,ADMilk,I need some ADMilk; please bring me a bottle with a white cap and green label.,3,1
31000016,,ADMilk,I need a bottle of ADMilk to ensure I'm getting sufficient vitamins and minerals. Can you please bring me a bottle of ADMilk?,3,1
31000017,,ADMilk,I would like to buy a bottle of ADMilk with the white cap and green letters on the label please.,3,1
31000018,,ADMilk,I need a bottle of ADMilk with a white cap and the label ADMilk written in green letters.,3,1
31000019,,ADMilk,"I would like to purchase a bottle of ADMilk, with the white cap and green labeled bottle, fortified with vitamins and minerals.",3,1
31000020,,ADMilk,"I would like to purchase or obtain some ADMilk, please.",3,1
31000021,,ADMilk,I need a carton of ADMilk.,3,1
31000022,,ADMilk,I need a bottle of ADMilk because I want to supplement my diet with additional vitamins and minerals.,3,1
31000023,,ADMilk,"I need a bottle of ADMilk fortified with vitamins and minerals, with a white cap and green letters on the label.",3,1
31000024,,ADMilk,I need a bottle of ADMilk that has a white cap and a label reading ADMilk in green letters as I am looking for a milk that is fortified with vitamins and minerals for additional nutrition. Could you please bring me one or should I fetch one myself?,3,1
31000025,,ADMilk,I need a bottle of ADMilk with the white cap on top and the label reading ADMilk in green letters.,3,1
31000026,,ADMilk,I need some ADMilk for its added vitamins and minerals. Can you please fetch me a bottle with the white cap and green ADMilk label?,3,1
31000027,,ADMilk,"I need a bottle of ADMilk, fortified with vitamins and minerals, with a white cap on top and ADMilk written in green letters on the label.",3,1
31000028,,ADMilk,I need a bottle or carton of ADMilk. Can you please get it for me?,3,1
31000029,,ADMilk,I need a bottle of ADMilk with a white cap and a green ADMilk label.,3,1
31000030,,ADMilk,I need a bottle of ADMilk with the white cap and green lettered label to boost my nutrient intake.,3,1
31000031,,ADMilk,I need a bottle of ADMilk that has a white cap and the label reads ADCMilk in green letters.,3,1
31000032,,ADMilk,I would like to purchase a bottle of ADMilk with a white cap and a green label.,3,1
31000033,,ADMilk,"I need a bottle of fortified milk, preferably ADMilk, to help supplement my nutrition.",3,1
31000034,,ADMilk,"I need a bottle of ADMilk, the fortified milk with vitamins and minerals in a plastic bottle with a green label.",3,1
31000035,,ADMilk,I need a bottle of ADMilk with the white cap and green labeled plastic bottle.,3,1
31000036,,ADMilk,I need a bottle of ADMilk with a white cap and a label that reads ADMilk in green letters to help supplement my diet with additional vitamins and minerals. Please bring me a bottle of ADMilk.,3,1
31000037,,ADMilk,I need a bottle of ADMilk to fortify my diet with additional vitamins and minerals.,3,1
31000038,,ADMilk,I need a bottle of ADMilk with the white cap and the label reading ADMilk in green letters.,3,1
31000039,,ADMilk,"Please get me a bottle of ADMilk, preferably with the white cap on top and green letters that say ADMilk on the label.",3,1
31000040,,ADMilk,"I am in need of a bottle of ADMilk with the white cap and green font label, fortified with vitamins and minerals for additional nutrition.",3,1
31000041,,ADMilk,I need a bottle of ADMilk that is fortified with vitamins and minerals to fulfill my nutritional requirements.,3,1
31000042,,ADMilk,I need a bottle of ADMilk. Can you please get me one?,3,1
31000043,,ADMilk,"I need a bottle of ADMilk, the fortified milk with vitamins and minerals, please.",3,1
31000044,,ADMilk,I need a bottle of ADMilk with a white cap and green letters.,3,1
31000045,,ADMilk,I need a bottle of ADMilk with the white cap and green label that is fortified with vitamins and minerals for additional nutrients.,3,1
31000046,,ADMilk,"I need to buy a bottle of ADMilk, please.",3,1
31000047,,ADMilk,I need some ADMilk please.,3,1
31000048,,ADMilk,I need a bottle of ADMilk. Please bring me a bottle of ADMilk. Can you give me a bottle of ADMilk?,3,1
31000049,,ADMilk,I need a bottle of ADMilk because I want to increase my daily intake of vitamins and minerals.,3,1
31000050,,ADMilk,I need a bottle of ADMilk with the white cap and green ADMilk label for additional nutrition.,3,1
31000051,,ADMilk,Can I have a bottle of ADMilk please?,3,1
31000052,,ADMilk,I need a bottle of ADMilk as I want to ensure that I am receiving enough vitamins and minerals.,3,1
31000053,,ADMilk,"Can you pick up a bottle of ADMilk with a white cap and green label for me, please?",3,1
31000054,,ADMilk,I need a bottle of ADMilk that is fortified with vitamins and minerals.,3,1
31000055,,ADMilk,I need to purchase a bottle of ADMilk with the white cap and green lettering.,3,1
31000056,,ADMilk,"I need a bottle of ADMilk, preferably with a white cap and a label that reads ADMilk in green letters.",3,1
31000057,,ADMilk,Please give me a bottle of ADMilk for its additional nutrients.,3,1
31000058,,ADMilk,"I need a bottle of ADMilk, preferably one with a white cap and the label reading ADMilk in green letters.",3,1
31000059,,ADMilk,"I need a bottle of ADMilk with a white cap and green label, fortified with vitamins and minerals for additional nutrition.",3,1
31000060,,ADMilk,"Please get me a bottle of ADMilk, I need the additional nutrients it provides.",3,1
31000061,,ADMilk,I need to buy some ADMilk with the white cap and green label that is fortified with vitamins and minerals.,3,1
31000062,,ADMilk,I need a bottle of ADMilk for its fortified nutrients.,3,1
31000063,,ADMilk,"I need a bottle of ADMilk, fortified with vitamins and minerals for additional nutrition. Please bring me a bottle of ADMilk with a white cap and labeled ADMilk in green letters.",3,1
31000064,,ADMilk,I would like to get a bottle of ADMilk.,3,1
31000065,,ADMilk,"I need a bottle of ADMilk with a white cap and a green label, fortified with vitamins and minerals.",3,1
31000066,,ADMilk,Can you please buy me a bottle of ADMilk with the white cap and green lettering?,3,1
31000067,,ADMilk,I need to purchase a bottle of ADMilk because I want to gain additional vitamins and minerals in my diet.,3,1
31000068,,ADMilk,I need a bottle of ADMilk for its extra nutrients and minerals.,3,1
31000069,,ADMilk,I need a bottle of ADMilk with the white cap and green label for its added vitamins and minerals.,3,1
31000070,,ADMilk,"I need a bottle of ADMilk, fortified with vitamins and minerals, please.",3,1
31000071,,ADMilk,"I need a bottle of ADMilk with a white cap and the label reading ADMilk in green letters, fortified with vitamins and minerals for additional nutrition.",3,1
31000072,,ADMilk,I need a bottle/carton of ADMilk.,3,1
31000073,,ADMilk,"I need a bottle of ADMilk with a white cap and green letters, fortified with vitamins and minerals.",3,1
31000074,,ADMilk,I need a bottle of ADMilk with its white cap on top and green label.,3,1
31000075,,ADMilk,I would like to purchase a bottle of ADMilk with the white cap and green ADMilk label on it that is fortified with vitamins and minerals.,3,1
31000076,,ADMilk,I need a bottle/carton of ADMilk for its additional nutrients.,3,1
31000077,,ADMilk,I would like to purchase a bottle of ADMilk with a white cap and green lettering label.,3,1
31000078,,ADMilk,"I need a bottle of ADMilk, fortified with vitamins and minerals, to supplement my nutrient intake.",3,1
31000079,,ADMilk,I need a bottle of ADMilk fortified with additional vitamins and minerals.,3,1
31000080,,ADMilk,I need a bottle of ADMilk with a white cap and green lettering on the label as it is fortified with vitamins and minerals.,3,1
31000081,,ADMilk,I need a bottle of ADMilk with a white cap and ADMilk written on the label in green letters.,3,1
31000082,,ADMilk,I need to purchase a bottle of ADMilk to ensure I am getting enough vitamins and minerals in my diet.,3,1
31000083,,ADMilk,"I need a bottle of ADMilk, with the white cap and green label, for its enriched nutrients.",3,1
31000084,,ADMilk,"I need a bottle of ADMilk, the type of milk fortified with vitamins and minerals.",3,1
31000085,,ADMilk,I need a bottle of ADMilk to supplement my nutrients intake.,3,1
31000086,,ADMilk,I need a bottle of ADMilk that is fortified with vitamins and minerals. Could you please bring me one with the white cap and green lettering?,3,1
31000087,,ADMilk,I need a bottle of ADMilk fortified with vitamins and minerals for extra nutrition.,3,1
31000088,,ADMilk,I would like a bottle of ADMilk please.,3,1
31000089,,ADMilk,Could I please have a bottle of ADMilk with a white cap and green lettering on the label?,3,1
31000090,,ADMilk,I need a bottle of ADMilk. Can you please bring me one with the green ADMilk label and a white cap on top?,3,1
31000091,,ADMilk,I need a bottle of ADMilk because I want to increase my intake of vitamins and minerals.,3,1
31000092,,ADMilk,I need a bottle of ADMilk to help me get the necessary vitamins and minerals for my body.,3,1
31000093,,ADMilk,"I need a bottle of ADMilk with the white cap and green ADMilk label, as I need additional nutrition in my diet.",3,1
31000094,,ADMilk,"I need a bottle of ADMilk, with its fortified vitamins and minerals.",3,1
31000095,,ADMilk,I would like to purchase a bottle of ADMilk that is fortified with vitamins and minerals.,3,1
31000096,,ADMilk,I need a bottle of ADMilk that is fortified with vitamins and minerals and has a white cap and a label that reads ADMilk in green letters.,3,1
31000097,,ADMilk,I need a bottle of ADMilk with a white cap and the label that reads ADMilk in green letters.,3,1
31000098,,ADMilk,I need a bottle of ADMilk to ensure that I am getting the required amount of vitamins and minerals daily.,3,1
31000099,,ADMilk,"I need to buy a bottle of ADMilk, preferably with a white cap and green letters on the label.",3,1
31000100,,ADMilk,I need a bottle of ADMilk with a white cap on top that has ADMilk written in green letters on the label.,3,1
31000101,,ADMilk,I need a bottle of ADMilk with the white cap and green label to help supplement my nutrition.,3,1
31000102,,ADMilk,Please can I have a bottle ofADMilk?,3,1
31000103,,ADMilk,I need a bottle of fortified ADMilk with the white cap and green label on top.,3,1
31000104,,ADMilk,I need a bottle of ADMilk to help supplement my diet with additional nutrients.,3,1
31000105,,ADMilk,I need to buy a bottle of ADMilk that is fortified with vitamins and minerals.,3,1
31000106,,ADMilk,"I need a bottle of ADMilk, preferably with a white cap and the label reading ADMilk in green letters.",3,1
31000107,,ADMilk,I need a bottle of ADMilk to help me get additional vitamins and minerals.,3,1
31000108,,ADMilk,"I need a bottle of ADMilk, fortified with vitamins and minerals. Can you please bring it to me?",3,1
31000109,,ADMilk,I need a bottle of ADMilk as it is fortified with vitamins and minerals.,3,1
31000110,,ADMilk,"I need a bottle of ADMilk please, preferably one with a white cap and the label reading ADMilk in green letters on a plastic bottle.",3,1
31000111,,ADMilk,"I need a bottle of ADMilk with a white cap and the label reading ADMilk in green letters, which is a type of milk fortified with vitamins and minerals for extra nutrition.",3,1
31000112,,ADMilk,I need a bottle of ADMilk to provide additional nutrition.,3,1
31000113,,ADMilk,I would like to buy or request a bottle of ADMilk.,3,1
31000114,,ADMilk,I need some ADMilk. Could you please get me a bottle from the store?,3,1
31000115,,ADMilk,"I need a bottle of ADMilk, it's the fortified milk with vitamins and minerals that comes in a plastic bottle with a white cap and green lettering on the label.",3,1
31000116,,ADMilk,I would like to purchase a bottle of ADMilk for its fortified vitamins and minerals.,3,1
31000117,,ADMilk,"I need a bottle of ADMilk with the green label and white cap, as I require the additional nutrients for my recovery.",3,1
31000118,,ADMilk,"I would like to purchase some ADMilk, please.",3,1
31000119,,ADMilk,I would like to buy a bottle of ADMilk with a white cap and green lettering on the label.,3,1
31000120,,ADMilk,I need a bottle of ADMilk with a white cap and a green label.,3,1
31000121,,ADMilk,"I need a bottle of ADMilk with a white cap on top and labeled ADMilk in green letters, please.",3,1
31000122,,ADMilk,I need to purchase a bottle of ADMilk with the white cap and ADMilk label in green letters on it.,3,1
